note_id,topics,topic_vector
note_0001,"[""应用案例"", ""机器学习"", ""结构预测""]","[1, 0, 1, 0, 0, 0, 0, 1]"
note_0002,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]"
note_0003,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0004,"[""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 0]"
note_0005,"[""方法学"", ""分子模拟""]","[0, 1, 0, 0, 0, 0, 1, 0]"
note_0006,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0007,"[""方法学"", ""分子模拟""]","[0, 1, 0, 0, 0, 0, 1, 0]"
note_0008,"[""机器学习"", ""方法学"", ""结构预测""]","[1, 0, 1, 0, 0, 0, 1, 0]"
note_0009,"[""机器学习"", ""结构预测""]","[1, 0, 1, 0, 0, 0, 0, 0]"
note_0010,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0011,"[""应用案例""]","[0, 0, 0, 0, 0, 0, 0, 1]"
note_0012,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0013,"[""实验技术""]","[0, 0, 0, 1, 0, 0, 0, 0]"
note_0014,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]"
note_0015,"[""应用案例""]","[0, 0, 0, 0, 0, 0, 0, 1]"
note_0016,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0017,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0018,"[""应用案例"", ""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 1]"
note_0019,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0020,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]"
note_0021,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0022,"[""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 0]"
note_0023,"[""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 0]"
note_0024,"[""应用案例""]","[0, 0, 0, 0, 0, 0, 0, 1]"
note_0025,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]"
note_0026,"[""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 0]"
note_0027,"[""机器学习"", ""方法学""]","[0, 0, 1, 0, 0, 0, 1, 0]"
note_0028,"[""应用案例"", ""分子模拟""]","[0, 1, 0, 0, 0, 0, 0, 1]"
note_0029,"[""应用案例""]","[0, 0, 0, 0, 0, 0, 0, 1]"
note_0030,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0031,"[""机器学习"", ""方法学""]","[0, 0, 1, 0, 0, 0, 1, 0]"
note_0032,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0033,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0034,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0035,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0036,"[""机器学习"", ""结构预测""]","[1, 0, 1, 0, 0, 0, 0, 0]"
note_0037,"[""机器学习"", ""结构预测""]","[1, 0, 1, 0, 0, 0, 0, 0]"
note_0038,"[""应用案例"", ""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 1]"
note_0039,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]"
note_0040,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]"
note_0041,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0042,"[""应用案例"", ""分子模拟""]","[0, 1, 0, 0, 0, 0, 0, 1]"
note_0043,"[""应用案例"", ""分子模拟""]","[0, 1, 0, 0, 0, 0, 0, 1]"
note_0044,"[""应用案例"", ""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 1]"
note_0045,"[""机器学习"", ""方法学""]","[0, 0, 1, 0, 0, 0, 1, 0]"
note_0046,"[""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 0]"
note_0047,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0048,"[""分子模拟""]","[0, 1, 0, 0, 0, 0, 0, 0]"
note_0049,"[""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 0]"
note_0050,"[""分子模拟""]","[0, 1, 0, 0, 0, 0, 0, 0]"
note_0051,"[""方法学"", ""分子模拟"", ""结构预测""]","[1, 1, 0, 0, 0, 0, 1, 0]"
note_0052,"[""应用案例"", ""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 1]"
