user_id,register_time,research_fields,active_period,reading_preferences,interaction_tendency,follower_count,following_count,activity_level,user_type
user_0001,2023-04-04 00:00:00,"[""质谱分析"", ""生物信息学"", ""癌症生物学""]",morning,"[""最新论文""]","{""like"": 0.5079758333820684, ""collect"": 0.3118692875588732, ""comment"": 0.36651977536631175, ""share"": 0.10961328657952392, ""follow"": 0.6411596707260606}",75,10,medium,researcher
user_0002,2023-12-19 00:00:00,"[""图神经网络""]",morning,"[""算法解读""]","{""like"": 0.5091615490157724, ""collect"": 0.4966355140297788, ""comment"": 0.12233115353771476, ""share"": 0.4401369099023316, ""follow"": 0.6732523613728453}",2,15,high,student
user_0003,2023-08-26 00:00:00,"[""虚拟筛选"", ""蛋白质折叠"", ""质谱分析""]",afternoon,"[""综述文章"", ""新闻动态""]","{""like"": 0.26884521561311, ""collect"": 0.1616891895186843, ""comment"": 0.18509339706732209, ""share"": 0.39397878720988705, ""follow"": 0.41077830990947}",160,24,low,industry
user_0004,2023-03-19 00:00:00,"[""X射线晶体学""]",afternoon,"[""应用案例"", ""综述文章""]","{""like"": 0.844851585388259, ""collect"": 0.4015280301779751, ""comment"": 0.2023306696852831, ""share"": 0.05862808444245935, ""follow"": 0.7593816038056901}",19,34,medium,student
user_0005,2023-05-23 00:00:00,"[""冷冻电镜"", ""膜蛋白""]",afternoon,"[""算法解读""]","{""like"": 0.8514727916294104, ""collect"": 0.1103878491751473, ""comment"": 0.10913508539682586, ""share"": 0.4794057496438723, ""follow"": 0.6647794738971441}",4,63,low,industry
user_0006,2023-11-29 00:00:00,"[""结构生物学"", ""虚拟筛选"", ""罕见病研究""]",morning,"[""经典方法""]","{""like"": 0.3942100426777171, ""collect"": 0.25989189925140144, ""comment"": 0.27274465286106325, ""share"": 0.02900455563797864, ""follow"": 0.7221647691662684}",12,16,medium,student
user_0007,2023-09-19 00:00:00,"[""代谢工程""]",afternoon,"[""应用案例"", ""新闻动态""]","{""like"": 0.7573295189292598, ""collect"": 0.5071595033135217, ""comment"": 0.3303725699916371, ""share"": 0.013380612805992127, ""follow"": 0.4923478082795042}",71,38,high,industry
user_0008,2023-11-22 00:00:00,"[""扩散模型""]",night,"[""经典方法""]","{""like"": 0.7230699363689982, ""collect"": 0.501514320791015, ""comment"": 0.4274670520045394, ""share"": 0.2237648374071096, ""follow"": 0.4064852701400317}",42,8,low,student
user_0009,2024-03-20 00:00:00,"[""罕见病研究""]",evening,"[""技术教程"", ""经典方法""]","{""like"": 0.9255869994073012, ""collect"": 0.22271979845503212, ""comment"": 0.3571829936723464, ""share"": 0.17180356998821436, ""follow"": 0.8796031530051215}",536,4,low,researcher
user_0010,2023-05-05 00:00:00,"[""结构生物学""]",morning,"[""实验技巧""]","{""like"": 0.8037450145318753, ""collect"": 0.23074013924591769, ""comment"": 0.43975794815889246, ""share"": 0.07530939689492225, ""follow"": 0.284280572054562}",42,0,high,researcher
user_0011,2023-12-05 00:00:00,"[""蛋白质工程"", ""NMR"", ""分子对接""]",night,"[""技术教程""]","{""like"": 0.5506956162549136, ""collect"": 0.6281925996948884, ""comment"": 0.6684786214556604, ""share"": 0.02227436813674955, ""follow"": 0.7058508244140479}",2,22,high,researcher
user_0012,2023-03-27 00:00:00,"[""虚拟筛选""]",afternoon,"[""应用案例""]","{""like"": 0.6489538923773712, ""collect"": 0.21958574266049902, ""comment"": 0.09559498260713076, ""share"": 0.043751979098098366, ""follow"": 0.32361905961945614}",2,79,medium,student
user_0013,2023-06-16 00:00:00,"[""神经退行性疾病""]",afternoon,"[""综述文章"", ""实验技巧""]","{""like"": 0.6407427258159669, ""collect"": 0.7828523225908283, ""comment"": 0.25325101384956816, ""share"": 0.0976335056336844, ""follow"": 0.91120351728632}",401,131,low,student
user_0014,2023-01-19 00:00:00,"[""图神经网络""]",evening,"[""最新论文"", ""经典方法""]","{""like"": 0.16872681218323962, ""collect"": 0.2015122292672339, ""comment"": 0.5435072962427243, ""share"": 0.25548992483237465, ""follow"": 0.25056454882464435}",111,22,medium,industry
user_0015,2023-11-07 00:00:00,"[""AlphaFold""]",evening,"[""新闻动态"", ""应用案例""]","{""like"": 0.9523453245206669, ""collect"": 0.5849521848254172, ""comment"": 0.07714456017280363, ""share"": 0.28498323950766347, ""follow"": 0.7744231513035525}",26,13,high,student
user_0016,2023-01-25 00:00:00,"[""冷冻电镜"", ""分子对接"", ""NMR""]",evening,"[""最新论文""]","{""like"": 0.35993832276470555, ""collect"": 0.16876192960450598, ""comment"": 0.3173081426309911, ""share"": 0.45824948302992163, ""follow"": 0.8044056762742765}",1,7,medium,student
